Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
HAT-P-54 b,HAT-P-54,1,3.799847,818.0,143.651,241.5508
OGLE-2018-BLG-1428L b,OGLE-2018-BLG-1428L,1,,,6220.0,240.0
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,1,,,7490.0,240.0
NGTS-15 b,NGTS-15,1,3.27623,1146.0,786.485,238.68913
HAT-P-24 b,HAT-P-24,1,3.35524,,415.344,238.3725
HD 124330 b,HD 124330,1,270.66,,60.1977,238.37131
HD 155193 b,HD 155193,1,352.65,,57.7995,238.37131
HAT-P-9 b,HAT-P-9,1,3.92281072,1540.0,455.203,238.05467
NGTS-2 b,NGTS-2,1,4.511164,1468.0,356.391,235.1942
HD 156411 b,HD 156411,1,842.2,,56.8655,235.18
Qatar-10 b,Qatar-10,1,1.645321,1955.0,559.068,233.92288
Wendelstein-2 b,Wendelstein-2,1,1.7522239,2470.0,565.541,232.33373
HD 207832 c,HD 207832,2,1155.7,,58.9291,232.0159
HD 209458 b,HD 209458,1,3.52474859,,48.3016,232.0159
K2-29 b,K2-29,1,3.2588321,1171.0,178.475,232.0159
WASP-81 b,WASP-81,1,2.7164762,1623.0,398.505,231.69807
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,2,1788.5,,1510.0,231.0
HAT-P-68 b,HAT-P-68,1,2.29840551,1028.0,202.152,230.10892
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,1,,,6500.0,230.0
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,1,,,8200.0,230.0
WASP-74 b,WASP-74,1,2.13775,,149.216,228.8376
BD+55 362 b,BD+55 362,1,265.59,,52.5697,228.83645
CoRoT-4 b,CoRoT-4,1,9.20205,1074.0,726.412,228.83
HD 96167 b,HD 96167,1,498.04,,85.3006,227.88411
GJ 876 c,GJ 876,4,30.0881,,4.67517,226.9846
WASP-35 b,WASP-35,1,3.16158,,202.218,225.6593
XO-7 b,XO-7,1,2.8641424,1743.0,234.149,225.34147
HATS-30 b,HATS-30,1,3.1743516,1414.0,342.14,224.38798
GJ 849 c,GJ 849,2,7068.0,,8.80058,223.11554
HD 224693 b,HD 224693,1,26.6904,,93.5015,222.481
V830 Tau b,V830 Tau,1,4.927,,130.111,222.481
HD 32963 b,HD 32963,1,2372.0,,38.0786,222.481
HATS-45 b,HATS-45,1,4.1876244,1518.0,772.11,222.481
TOI-1789 b,TOI-1789,1,3.208664,1927.0,229.067,222.47988
HD 9446 b,HD 9446,2,30.052,,50.3503,222.472
HD 37124 d,HD 37124,3,1862.0,,31.6634,221.20968
WASP-84 b,WASP-84,1,8.5234865,797.0,100.588,220.565
ups And b,ups And,3,4.617033,,13.4054,218.531
HD 8535 b,HD 8535,1,1313.0,,55.4401,216.1244
HAT-P-32 b,HAT-P-32,1,2.1500082,1836.0,289.205,216.1244
GJ 832 b,GJ 832,2,3657.0,,4.96435,216.0
KELT-10 b,KELT-10,1,4.1662739,1377.0,188.404,215.80657
HD 37124 b,HD 37124,3,154.378,,31.6634,214.53525
KOI-142 c,KOI-142,3,22.26492,,376.863,214.1
HATS-28 b,HATS-28,1,3.1810781,1253.0,535.383,213.58176
HAT-P-4 b,HAT-P-4,1,3.056536,1686.0,320.451,213.255
WASP-22 b,WASP-22,1,3.53269,,317.652,212.9461
HD 211810 b,HD 211810,1,1558.0,,64.6353,212.9461
TIC 257060897 b,TIC 257060897,1,3.660028,1762.0,505.703,212.94503
Kepler-6 b,Kepler-6,1,3.2346996,1460.0,587.039,212.31044
Qatar-6 b,Qatar-6,1,3.506195,1006.0,100.848,212.31044
TOI-905 b,TOI-905,1,3.739494,1192.0,158.649,211.99261
NGTS-16 b,NGTS-16,1,4.84532,1177.0,898.168,211.99155
HD 27894 b,HD 27894,3,18.02,,43.8214,211.35695
HATS-60 b,HATS-60,1,3.560829,1528.0,486.474,210.40346
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,1,,,2510.0,210.0
TOI-1899 b,TOI-1899,1,29.02,362.0,128.438,209.7678
HD 170469 b,HD 170469,1,1145.0,,60.178,209.7678
HD 141399 e,HD 141399,4,5000.0,,37.0169,209.7678
KELT-8 b,KELT-8,1,3.24406,,197.572,209.7678
Kepler-15 b,Kepler-15,1,4.942782,,739.412,209.76
WASP-165 b,WASP-165,1,3.465509,1624.0,602.236,209.13214
HD 45364 c,HD 45364,2,342.85,,34.354,209.0915
HATS-29 b,HATS-29,1,4.6058749,1212.0,353.891,207.54299
HD 37124 c,HD 37124,3,885.5,,31.6634,207.22516
HATS-26 b,HATS-26,1,3.3023881,1918.0,861.843,206.5895
BD-11 4672 b,BD-11 4672,2,1634.0,,27.1665,206.5895
HAT-P-3 b,HAT-P-3,1,2.8997,,134.554,206.5895
WASP-57 b,WASP-57,1,2.83891856,1338.0,398.276,204.68252
HD 181433 c,HD 181433,3,962.0,,26.8762,203.0
HATS-39 b,HATS-39,1,4.5776348,1645.0,878.521,200.2329
WASP-90 b,WASP-90,1,3.916243,1840.0,466.433,200.2329
Kepler-74 b,Kepler-74,1,7.340711,1078.0,1177.55,200.22
TOI-216.01,TOI-216,2,34.556,497.0,177.945,200.0
OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,1,,,6300.0,200.0
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,1,,,7040.0,200.0
MOA-2016-BLG-319L b,MOA-2016-BLG-319L,1,,,6800.0,200.0
HAT-P-28 b,HAT-P-28,1,3.257215,1384.0,401.319,198.953
HD 11964 b,HD 11964,2,1945.0,,33.5369,198.0
HD 31253 b,HD 31253,1,466.0,,58.1438,197.0546
HAT-P-27 b,HAT-P-27,1,3.039577,,199.173,197.05
HD 103720 b,HD 103720,1,4.5557,,45.5352,197.046
OGLE-TR-10 b,OGLE-TR-10,1,3.101278,,1344.97,197.046
WASP-94 B b,WASP-94 B,2,2.00839,,208.696,196.411
HAT-P-63 b,HAT-P-63,1,3.377728,1237.0,4483.05,195.14664
HATS-25 b,HATS-25,1,4.2986432,1277.0,471.158,194.82979
HD 114783 c,HD 114783,2,4319.0,,21.0628,194.19413
WASP-55 b,WASP-55,1,4.46563,,297.462,193.8763
HATS-56 b,HATS-56,1,4.324799,1902.0,564.409,191.33366
WASP-124 b,WASP-124,1,3.37265,1400.0,448.637,190.698
HD 43197 b,HD 43197,1,327.8,,62.4112,190.69
HAT-P-39 b,HAT-P-39,1,3.54387,1752.0,697.004,190.372
HD 175541 b,HD 175541,1,298.43,,129.603,190.06234
MOA-bin-29 b,MOA-bin-29,1,,,7120.0,190.0
HATS-53 b,HATS-53,1,3.8537768,1312.0,585.77,189.10885
Kepler-423 b,Kepler-423,1,2.6843285,1605.0,758.753,189.101
Wendelstein-1 b,Wendelstein-1,1,2.663416,2198.0,305.3,188.15536
Kepler-8 b,Kepler-8,1,3.5224991,1680.0,1021.87,187.5197
BD-10 3166 b,BD-10 3166,1,3.48777,,84.4069,187.5197
WASP-54 b,WASP-54,1,3.69364,,251.303,187.5197
HIP 14810 d,HIP 14810,3,981.8,,50.48,187.5197
WASP-70 A b,WASP-70 A,1,3.7130203,1387.0,222.355,187.512
HAT-P-55 b,HAT-P-55,1,3.5852467,1313.0,511.388,184.97706
HAT-P-17 b,HAT-P-17,2,10.33852,,92.3831,184.3414
HAT-P-64 b,HAT-P-64,1,4.007232,1766.0,651.897,184.34048
HD 44219 b,HD 44219,1,472.3,,52.9051,184.33
K2-30 b,K2-30,1,4.098503,1092.0,333.042,184.02357
HATS-69 b,HATS-69,1,2.2252577,1296.0,414.537,183.38791
HAT-P-60 b,HAT-P-60,1,4.7947813,1772.0,233.22,182.43351
HD 216770 b,HD 216770,1,118.45,,36.6625,181.1631
WASP-184 b,WASP-184,1,5.1817,1480.0,663.231,181.1631
Kepler-56 c,Kepler-56,3,21.40239,,912.994,181.0
HAT-P-25 b,HAT-P-25,1,3.65281514,1182.0,300.384,180.84527
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,1,,,6860.0,180.0
XO-2 N b,XO-2 N,3,2.61586178,,154.273,179.89178
WASP-169 b,WASP-169,1,5.6114118,1604.0,627.066,178.30263
HD 192263 b,HD 192263,1,24.3556,,19.6359,177.9848
HATS-44 b,HATS-44,1,2.7439004,1161.0,446.035,177.9848
WASP-34 b,WASP-34,1,4.31768,,132.096,177.9848
HD 207832 b,HD 207832,2,160.07,,58.9291,177.9848
Kepler-41 b,Kepler-41,1,1.8555582,1790.0,1093.08,177.98
WASP-60 b,WASP-60,1,4.305,,431.052,174.8065
WASP-159 b,WASP-159,1,3.840401,1850.0,715.383,174.8065
HATS-13 b,HATS-13,1,3.0440499,1244.0,421.855,172.58169
Pr0201 b,Pr0201,1,4.4264,,180.64,171.6282
WASP-15 b,WASP-15,1,3.7521,,282.091,171.6282
47 UMa c,47 UMa,3,2391.0,,13.7967,171.621
HD 181433 d,HD 181433,3,2172.0,,26.8762,171.0
WASP-80 b,WASP-80,1,3.06785234,825.0,49.7876,170.99254
CoRoT-16 b,CoRoT-16,1,5.35227,,732.409,170.032
OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,1,,,2570.0,170.0
MOA-2010-BLG-117L b,MOA-2010-BLG-117L,1,,,3500.0,170.0
Kepler-238 e,Kepler-238,5,23.654,,1798.75,169.7
PH1 b,PH1,1,138.317,481.0,1033.16,169.0
HD 63765 b,HD 63765,1,358.0,,32.5376,168.4499
HATS-27 b,HATS-27,1,4.637038,1659.0,816.988,168.4499
WASP-42 b,WASP-42,1,4.9816819,1021.0,177.291,167.49641
HAT-P-65 b,HAT-P-65,1,2.6054552,1930.0,738.519,167.49641
HIP 57274 d,HIP 57274,3,431.7,,25.8618,167.4
HATS-10 b,HATS-10,1,3.312846,1407.0,534.889,167.17858
HAT-P-1 b,HAT-P-1,1,4.46529976,1322.0,158.979,166.86075
HD 187123 b,HD 187123,2,3.0965828,,45.9548,166.218
HD 160691 e,HD 160691,4,310.55,,15.5981,165.8685
WASP-62 b,WASP-62,1,4.41195,,175.631,165.2716
KELT-6 b,KELT-6,2,7.8457,,240.726,165.2716
HD 208487 b,HD 208487,1,130.08,,45.147,165.265
CoRoT-26 b,CoRoT-26,1,4.20474,1600.0,1045.18,165.26
WASP-118 b,WASP-118,1,4.0460435,1729.0,376.658,163.36462
WASP-101 b,WASP-101,1,3.58572,,201.224,162.0933
HD 212301 b,HD 212301,1,2.24571,,54.2304,162.0933
WASP-110 b,WASP-110,1,3.77840121,,274.96,162.09249
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,1,,,6980.0,162.09249
HD 7449 b,HD 7449,1,1255.5,,38.662,161.45764
WASP-177 b,WASP-177,1,3.071722,1142.0,176.818,161.45764
Kepler-45 b,Kepler-45,1,2.455239,1000.0,381.949,160.497
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,1,,,3950.0,160.0
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,1,,,4100.0,160.0
WASP-183 b,WASP-183,1,4.1117771,1111.0,325.377,159.55066
K2-137 b,K2-137,1,0.179715,1471.0,98.8765,158.915
Kepler-1654 b,Kepler-1654,1,1047.8356,206.0,568.117,158.915
WASP-94 A b,WASP-94 A,2,3.95019,,211.211,158.915
KIC 5479689 b,KIC 5479689,1,1.701531,,454.95,158.9142
Kepler-32 c,Kepler-32,5,8.7522,,323.847,158.9
HAT-P-46 b,HAT-P-46,1,4.463129,1458.0,290.736,156.684
HD 75289 b,HD 75289,1,3.50927,,29.1158,155.7367
K2-132 b,K2-132,1,9.1751,,609.818,155.7367
HD 6434 b,HD 6434,1,21.998,,42.358,155.7367
CoRoT-28 b,CoRoT-28,1,5.20851,,766.183,153.82972
HD 210193 b,HD 210193,1,649.918,,42.2029,153.1
HAT-P-40 b,HAT-P-40,1,4.45724,,464.469,152.5584
HD 330075 b,HD 330075,1,3.38773,,45.2989,152.5584
WASP-96 b,WASP-96,1,3.4252602,1285.0,352.464,152.55
WASP-31 b,WASP-31,1,3.4059096,,383.829,151.916
WASP-113 b,WASP-113,1,4.54216875,1496.0,435.156,150.96925
51 Peg b,51 Peg,1,4.230785,,15.4614,150.009
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,1,,,6700.0,150.0
WASP-172 b,WASP-172,1,5.477433,1740.0,538.11,149.3801
HD 30669 b,HD 30669,1,1684.0,,58.0844,149.37
CoRoT-5 b,CoRoT-5,1,4.0378962,1438.0,882.472,148.42
GJ 3512 b,GJ 3512,1,203.59,,9.48637,147.15529
NGC 2682 YBP 401 b,NGC 2682 YBP 401,1,4.087,,830.822,146.2018
WASP-52 b,WASP-52,1,1.7497798,1315.0,174.818,146.2
HD 141399 b,HD 141399,4,94.44,,37.0169,143.34133
WASP-56 b,WASP-56,1,4.6171,,321.084,143.0235
HD 86226 b,HD 86226,2,1628.0,176.0,45.683,143.0235
HD 164509 b,HD 164509,1,280.17,,53.1119,140.79869
Kepler-7 b,Kepler-7,1,4.8854892,1630.0,922.562,140.16303
TOI-1259 A b,TOI-1259 A,1,3.477978,963.0,118.106,140.16233
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,1,,,3730.0,140.0
HD 99109 b,HD 99109,1,439.29999,,54.7901,139.8452
WASP-144 b,WASP-144,1,2.2783152,1260.0,355.513,139.8452
WASP-25 b,WASP-25,1,3.76483,,211.416,139.8452
DMPP-2 b,DMPP-2,1,5.2072,1000.0,137.94,138.89171
OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,1,,,7070.0,138.0
HD 45652 b,HD 45652,1,44.073,,34.8541,137.62039
Kepler-12 b,Kepler-12,1,4.4379629,1480.0,881.386,137.30256
WASP-67 b,WASP-67,1,4.61442,,189.469,136.6669
Kepler-77 b,Kepler-77,1,3.57878087,1440.0,639.411,136.661
Kepler-422 b,Kepler-422,1,7.8914483,,722.795,136.66
HIP 65407 b,HIP 65407,2,28.125,,61.7804,136.03124
K2-60 b,K2-60,1,3.00265,1400.0,491.87,135.39558
Kepler-52 b,Kepler-52,3,7.8773565,,321.542,135.0
WASP-168 b,WASP-168,1,4.153658,1340.0,303.941,133.4886
HD 2638 b,HD 2638,1,3.4442,,54.9621,133.4886
WASP-88 b,WASP-88,1,4.954,,523.756,133.4886
HD 133131 A c,HD 133131 A,3,3568.0,,51.4736,133.4886
TOI-201 b,TOI-201,1,52.97818,759.0,113.825,133.4886
Kepler-289 c,Kepler-289,3,125.8518,,704.438,132.0
HD 1397 b,HD 1397,1,11.53533,1228.0,79.5702,131.89945
HD 126614 b,HD 126614,1,1244.0,,73.0961,130.3103
WASP-132 b,WASP-132,1,7.133521,763.0,122.91,130.3103
HD 102195 b,HD 102195,1,4.11377,,29.3386,130.3103
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,1,,,5200.0,130.0
HIP 57274 c,HIP 57274,3,32.03,,25.8618,130.0
NGTS-18 b,NGTS-18,1,3.05125,1381.0,1096.19,129.99182
HD 11506 c,HD 11506,2,223.41,,51.261,129.67464
WASP-148 c,WASP-148,2,34.516,590.0,246.353,127.132
HD 38283 b,HD 38283,1,363.20001,,38.0615,127.132
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,1,5.118,,914.221,127.132
HD 181720 b,HD 181720,1,956.0,,60.2046,127.132
TOI-530 b,TOI-530,1,6.387597,565.0,148.762,127.13136
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,1,,,5915.0,127.0
K2-232 b,K2-232,1,11.168454,1030.0,130.72,126.49634
WASP-153 b,WASP-153,1,3.332609,1700.0,610.176,123.9537
HATS-50 b,HATS-50,1,3.8297015,,756.742,123.9537
Kepler-38 b,Kepler-38,1,105.599,475.0,1174.59,122.0
HD 149026 b,HD 149026,1,2.87589,,75.8643,120.7754
HD 34445 g,HD 34445,6,5700.0,,46.0907,120.6
Kepler-63 b,Kepler-63,1,9.4341505,,194.033,120.0
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,,,1300.0,120.0
Kepler-415 b,Kepler-415,2,4.176,,530.487,119.9
Kepler-46 c,Kepler-46,3,57.011,455.0,777.06,119.499
HAT-P-58 b,HAT-P-58,1,4.0138379,1622.0,515.59,118.23217
Qatar-8 b,Qatar-8,1,3.71495,1457.0,281.498,117.91493
HATS-71 b,HATS-71,1,3.7955202,587.0,140.225,117.5971
WASP-6 b,WASP-6,1,3.36101,,197.119,117.5971
WASP-49 b,WASP-49,1,2.78174,,194.553,117.5971
WASP-63 b,WASP-63,1,4.37808,,290.684,117.5971
HD 93083 b,HD 93083,1,143.58,,28.5159,117.59
HATS-47 b,HATS-47,1,3.9228038,853.0,300.67,117.27927
TOI-2202 c,TOI-2202,2,24.6744,,235.933,117.27868
HD 103774 b,HD 103774,1,5.8881,,56.4089,116.0
HD 164922 b,HD 164922,4,1207.0,,22.0016,116.0
WASP-107 c,WASP-107,2,1088.0,,64.7414,115.0
Kepler-57 b,Kepler-57,2,5.7293196,,644.14,115.0
HIP 12961 b,HIP 12961,1,57.435,,23.371,114.4188
WASP-13 b,WASP-13,1,4.35301,,227.537,114.4188
HD 113538 b,HD 113538,2,663.2,,16.2817,114.41
HD 102843 b,HD 102843,1,3090.942,,62.758,113.9
HD 114613 b,HD 114613,1,4000.0,,20.2836,113.46531
TOI-1298 b,TOI-1298,1,4.537164,1388.0,319.036,113.14691
HATS-49 b,HATS-49,1,4.1480467,835.0,324.413,112.19399
HAT-P-44 b,HAT-P-44,2,4.301219,1108.0,347.85,111.871
HD 47186 c,HD 47186,2,1353.6,,37.4574,111.42
KMT-2018-BLG-1990L b,KMT-2018-BLG-1990L,1,,,967.0,111.0
Kepler-53 b,Kepler-53,3,18.6489525,,1366.07,111.0
NGTS-11 b,NGTS-11,1,35.45533,435.0,190.422,109.33352
HD 219134 h,HD 219134,6,2247.0,,6.53127,108.0622
HAT-P-67 b,HAT-P-67,1,4.8101025,1903.0,371.686,108.0622
HD 83443 b,HD 83443,1,2.9857,,40.8991,108.0622
Kepler-426 b,Kepler-426,1,3.21751883,1300.0,843.695,108.06
K2-295 b,K2-295,1,4.024867,852.0,232.801,106.47305
KOI-94 d,KOI-94,4,22.342989,806.0,477.052,106.0
Kepler-16 b,Kepler-16,1,228.776,,75.0852,105.833
HD 564 b,HD 564,1,492.3,,51.1659,104.88
HD 33283 b,HD 33283,1,18.1991,,89.8623,104.56607
HD 215497 c,HD 215497,2,567.94,,40.5468,104.3
GJ 649 b,GJ 649,1,598.3,,10.3796,104.244
BD-08 2823 c,BD-08 2823,2,237.6,,41.3342,104.0
NGC 2682 YBP 1194 b,NGC 2682 YBP 1194,1,6.959,,872.92,101.7056
OGLE-2018-BLG-0567L b,OGLE-2018-BLG-0567L,1,,,7060.0,101.70509
HATS-6 b,HATS-6,1,3.3252725,713.0,169.318,101.38777
K2-287 b,K2-287,1,14.893291,804.0,158.335,100.11645
Kepler-160 d,Kepler-160,3,30.0,,937.013,100.0
WASP-20 b,WASP-20,1,4.8996284,1379.0,211.877,98.841
WASP-151 b,WASP-151,1,4.533471,1290.0,453.099,98.5273
HAT-P-51 b,HAT-P-51,1,4.2180278,1192.0,440.089,98.20947
GJ 1148 b,GJ 1148,2,41.38,,11.0143,96.7
WASP-83 b,WASP-83,1,4.971252,1120.0,271.103,95.349
WASP-117 b,WASP-117,1,10.02165,,157.963,95.349
WASP-21 b,WASP-21,1,4.322482,,258.426,95.345
WASP-181 b,WASP-181,1,4.5195064,1186.0,437.495,95.03117
TOI-1296 b,TOI-1296,1,3.9443715,1562.0,323.265,94.71287
HAT-P-19 b,HAT-P-19,1,4.008778,1010.0,202.078,92.802
WASP-148 b,WASP-148,2,8.80381,940.0,246.353,92.48853
WASP-69 b,WASP-69,1,3.86814,,49.9605,92.1707
Kepler-427 b,Kepler-427,1,10.290994,1100.0,1017.8,92.17
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,1,,,3900.0,92.0
HD 88133 b,HD 88133,1,3.414884,,73.6123,90.42263
WASP-126 b,WASP-126,2,3.28883,,216.526,90.3
WASP-39 b,WASP-39,1,4.055259,,213.982,88.989
WASP-160 B b,WASP-160 B,1,3.7684952,1119.0,288.326,88.35674
WASP-147 b,WASP-147,1,4.60273,1404.0,436.098,87.40325
Kepler-277 b,Kepler-277,2,17.324,,976.643,87.3
OGLE-2006-BLG-109L c,OGLE-2006-BLG-109L,2,4927.5,,1510.0,86.0
MOA-2010-BLG-353L b,MOA-2010-BLG-353L,1,,,6430.0,86.0
WASP-131 b,WASP-131,1,5.322023,1460.0,200.075,85.8141
HD 109749 b,HD 109749,1,5.239891,,63.0821,85.8141
HD 7199 b,HD 7199,1,615.0,,36.1531,85.8141
HD 168746 b,HD 168746,1,6.404,,41.5681,85.8141
CoRoT-25 b,CoRoT-25,1,4.86069,1330.0,1103.48,85.81
HAT-P-38 b,HAT-P-38,1,4.640382,1082.0,255.206,84.857
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,2,,,6400.0,83.7
HATS-43 b,HATS-43,1,4.3888497,1003.0,362.273,82.95363
HD 108147 b,HD 108147,1,10.8985,,38.92,82.95
HD 16141 b,HD 16141,1,75.523,,37.7861,82.6358
XO-2 S b,XO-2 S,3,18.157,,151.398,82.6358
K2-329 b,K2-329,1,12.4551225,650.0,233.237,82.6358
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,1,2557.0,,2760.0,80.0
HD 101930 b,HD 101930,1,70.46,,30.0274,79.4575
HD 63454 b,HD 63454,1,2.81805,,37.6894,79.4575
Kepler-425 b,Kepler-425,1,3.79701816,1070.0,646.647,79.45
Kepler-145 c,Kepler-145,2,42.882,,566.85,79.4
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,1,,,6483.0,77.86796
HD 332231 b,HD 332231,1,18.71204,876.0,80.6665,77.55052
HATS-48 A b,HATS-48 A,1,3.1316666,955.0,263.609,77.23269
Kepler-396 b,Kepler-396,2,42.994,,223.757,75.5
HD 126525 b,HD 126525,1,960.41,,37.6506,75.32571
HATS-5 b,HATS-5,1,4.763387,1025.0,246.384,75.323
WASP-29 b,WASP-29,1,3.92273,,87.5953,73.1009
HD 204941 b,HD 204941,1,1733.0,,28.7165,73.1009
NGTS-5 b,NGTS-5,1,3.3569866,952.0,306.779,72.78307
HD 3651 b,HD 3651,1,62.25,,11.1336,72.46524
Kepler-25 d,Kepler-25,3,122.4,,243.249,71.9
HD 46375 b,HD 46375,1,3.023573,,29.5529,71.8
GJ 9066 c,GJ 9066,2,767.887,,4.471,71.6
KOI-1783.01,KOI-1783,2,134.4628,,865.73,71.0
K2-261 b,K2-261,1,11.63344,1080.0,213.283,70.87609
Kepler-34 b,Kepler-34,1,288.822,,1800.82,69.92
CoRoT-8 b,CoRoT-8,1,6.21229,,322.037,69.92
GJ 1148 c,GJ 1148,2,532.58,,11.0143,68.06
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,1,,,7050.0,67.3
HAT-P-12 b,HAT-P-12,1,3.2130598,963.0,142.751,67.059
Kepler-413 b,Kepler-413,1,66.262,,847.536,67.0
HD 76700 b,HD 76700,1,3.97097,,60.8831,66.7443
HD 107148 b,HD 107148,2,48.056,,49.4156,66.741
HD 8326 b,HD 8326,1,158.991,,30.6862,66.6
NGTS-12 b,NGTS-12,1,7.532806,1257.0,446.442,66.10864
HD 21411 b,HD 21411,1,84.288,,29.1328,65.9
HD 10180 h,HD 10180,6,2205.0,,38.9607,65.66368
Kepler-92 b,Kepler-92,3,13.749,,477.992,64.3
Kepler-277 c,Kepler-277,2,33.006,,976.643,64.2
WASP-126 c,WASP-126,2,7.63,,216.526,64.2
HD 24040 c,HD 24040,2,515.4,,46.6224,63.88351
HD 220197 b,HD 220197,1,1728.0,,64.411,63.566
HD 137388 b,HD 137388,1,330.0,,40.4841,63.566
HD 218566 b,HD 218566,1,225.7,,28.8274,63.566
HAT-P-18 b,HAT-P-18,1,5.508023,852.0,161.4,62.61
TOI-532 b,TOI-532,1,2.3266508,867.0,135.047,61.5
Kepler-282 d,Kepler-282,4,24.806,,1337.61,61.0
HD 221416 b,HD 221416,1,14.2767,,95.5483,60.5
KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,1,,,7300.0,60.0
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,1,,,6100.0,60.0
HD 45364 b,HD 45364,2,226.93,,34.354,59.4953
Kepler-416 b,Kepler-416,2,6.319,,690.819,58.2
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,1,,,8100.0,57.0
TOI-1749 b,TOI-1749,3,2.38839,831.0,99.5561,57.0
HATS-62 b,HATS-62,1,3.2768837,1237.0,523.067,56.89157
Kepler-282 e,Kepler-282,4,44.347,,1337.61,56.2
HD 117618 b,HD 117618,1,25.8,,37.7781,55.30242
TOI-954 b,TOI-954,1,3.6849729,1526.0,238.768,55.30242
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,2,,,6400.0,55.3
WASP-18 c,WASP-18,2,2.1558,,123.483,55.2
HATS-46 b,HATS-46,1,4.7423729,1054.0,453.808,54.98459
HD 3765 b,HD 3765,1,1211.0,,17.926,54.98431
KELT-11 b,KELT-11,1,4.7361,,99.1596,54.34893
HD 102117 b,HD 102117,1,20.8133,,39.5792,54.0311
Kepler-462 b,Kepler-462,2,84.6866,,596.625,53.9
GJ 414 A c,GJ 414 A,2,749.83,125.0,11.8893,53.83
HD 34445 c,HD 34445,6,214.67,,46.0907,53.5
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,1,,,6320.0,53.1
BD-06 1339 c,BD-06 1339,2,125.94,,20.2695,53.0
Kepler-58 c,Kepler-58,3,15.5741568,,969.252,53.0
WASP-127 b,WASP-127,1,4.17806203,,159.507,52.3466
HD 27894 c,HD 27894,3,36.07,,43.8214,51.48846
55 Cnc c,55 Cnc,5,44.3989,,12.5855,51.2
Kepler-101 b,Kepler-101,2,3.4876812,1513.0,927.981,51.1
HD 104067 b,HD 104067,1,55.806,,20.3632,50.8528
Kepler-279 c,Kepler-279,3,35.736,,1037.4,49.4
Kepler-1656 b,Kepler-1656,1,31.578659,651.0,185.875,48.6
HIP 38594 c,HIP 38594,2,3477.768,,17.7886,48.4
55 Cnc f,55 Cnc,5,259.88,,12.5855,47.8
CoRoTID 223977153 b,CoRoTID 223977153,1,6.71837,938.0,576.683,47.6745
HD 177830 c,HD 177830,2,110.9,,62.7674,47.6725
WASP-182 b,WASP-182,1,3.3769848,1479.0,327.602,47.03884
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,2,,,4019.0,46.1
Kepler-52 c,Kepler-52,3,16.3850021,,321.542,45.4
HATS-8 b,HATS-8,1,3.583893,1324.0,794.637,43.86054
TOI-257 b,TOI-257,1,18.38818,1027.0,76.9028,43.86032
Kepler-9 b,Kepler-9,3,19.23891,,628.257,43.4
Kepler-129 c,Kepler-129,3,82.2,,408.845,43.0
HD 95338 b,HD 95338,1,55.087,385.0,36.9941,42.44
WASP-156 b,WASP-156,1,3.836169,970.0,122.066,40.68224
Kepler-35 b,Kepler-35,1,131.458,,1819.17,40.363
HATS-72 b,HATS-72,1,7.3279474,739.0,127.589,39.85588
Kepler-328 c,Kepler-328,2,71.312,,2213.19,39.4
TOI-849 b,TOI-849,1,0.76552414,,225.734,39.09
HATS-7 b,HATS-7,1,3.185315,1084.0,240.707,38.1396
HD 34445 f,HD 34445,6,676.8,,46.0907,37.9
Kepler-279 d,Kepler-279,3,54.414,,1037.4,37.5
WASP-139 b,WASP-139,1,5.924262,910.0,212.472,37.18611
Kepler-145 b,Kepler-145,2,22.951,,566.85,37.1
